"id","item_id","order","size","has_derivative_image","authentication","mime_type","type_os","filename","original_filename","modified","added","stored","metadata"
"56","56",NULL,"18629547","1","462e23be41eecc3b91e7b64be87031aa","application/pdf","PDF document, version 1.6","d7be08ee45fc8df034837385ae468b78.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001.pdf","2017-12-29 19:36:49","2017-04-17 21:03:07","1","{""mime_type"":""application\/pdf""}"
"57","57",NULL,"226421","1","31f4676b0df7d33aefcf6f2a8fbf20b1","application/pdf","PDF document, version 1.6","b9dda0ca67f5034c15f4d3e0bcebaed1.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_001.pdf","2017-12-29 19:36:49","2017-04-17 21:03:10","1","{""mime_type"":""application\/pdf""}"
"58","58",NULL,"145944","1","2248897f1c4722db3acc1ebb3887d332","application/pdf","PDF document, version 1.6","82feb8aec8779eb2985fdc49db12ecb2.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_002.pdf","2017-12-29 19:36:49","2017-04-17 21:03:11","1","{""mime_type"":""application\/pdf""}"
"59","59",NULL,"1203387","1","d9c909c92e6696cd2f37153eb6eeec01","application/pdf","PDF document, version 1.6","357a832103f29569557e04b76300bfd6.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_003.pdf","2017-12-29 19:36:50","2017-04-17 21:03:13","1","{""mime_type"":""application\/pdf""}"
"60","60",NULL,"1010239","1","6114ab501cd492a3db0cfc3ad6e1cf1a","application/pdf","PDF document, version 1.6","801ef69fd1727e610ba0e2f30f4d0ded.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_004.pdf","2017-12-29 19:36:50","2017-04-17 21:03:14","1","{""mime_type"":""application\/pdf""}"
"61","61",NULL,"234598","1","1a826d3988a442e22ae5ddb0db25de6e","application/pdf","PDF document, version 1.6","ee367151262cafe91dfe00fb3f7216b3.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_005.pdf","2017-12-29 19:36:50","2017-04-17 21:03:16","1","{""mime_type"":""application\/pdf""}"
"62","62",NULL,"602560","1","dd94c63bb567ec4875fb7da1fbfa610f","application/pdf","PDF document, version 1.6","b31ab20c2533aa071252321a38a1173a.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_006.pdf","2017-12-29 19:36:50","2017-04-17 21:03:18","1","{""mime_type"":""application\/pdf""}"
"63","63",NULL,"458322","1","50fdaf86101250b29984c1793760970d","application/pdf","PDF document, version 1.6","f82bfb1c923318f5ce941d793c443555.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_007.pdf","2017-12-29 19:36:50","2017-04-17 21:03:20","1","{""mime_type"":""application\/pdf""}"
"64","64",NULL,"235117","1","806a497520cfcce011b769b7db0ffefb","application/pdf","PDF document, version 1.6","1e8fd530346abf30f8b4a1eda1b2d23d.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_008.pdf","2017-12-29 19:36:51","2017-04-17 21:03:21","1","{""mime_type"":""application\/pdf""}"
"65","65",NULL,"143754","1","c1075883ab35bf4c31b73a59069e51d4","application/pdf","PDF document, version 1.6","fed453425428722663eed6a69f4f510f.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_009.pdf","2017-12-29 19:36:51","2017-04-17 21:03:23","1","{""mime_type"":""application\/pdf""}"
"66","66",NULL,"198724","1","6b61f189694bb9f11f6f17d5de69aa03","application/pdf","PDF document, version 1.6","eb274f0285d50a8c3d353fc2870853ec.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_010.pdf","2017-12-29 19:36:51","2017-04-17 21:03:25","1","{""mime_type"":""application\/pdf""}"
